,seed,time,funds[0].exp.returns[currencies[1]],funds[0].exp.returns[portfolios[0]],funds[0].exp.returns[portfolios[1]],funds[3].exp.returns[currencies[0]],funds[3].exp.returns[portfolios[2]],funds[3].exp.returns[portfolios[3]],"percentage_fx_rates.iloc[0,1]",percentage_portfolio0,percentage_portfolio1,percentage_portfolio2,percentage_portfolio3,dom_bond_yields
count,108432.0,108432.0,108432.0,108432.0,108432.0,108432.0,108432.0,108432.0,108432.0,108432.0,108432.0,108432.0,108432.0,108432.0
mean,16.73611111111111,125.0,-2.532838636380421e-06,-4.8278099171832006e-06,-1.1587327723836368e-05,2.5386736655139305e-06,-8.084066820717007e-08,-4.555740238158528e-07,0.42406628100514265,0.7025797323484262,3.688832167049231,0.011005071815303543,0.12811090080958454,-12.069524792957834
std,8.754393341891351,72.45721784534562,1.9384194179742115e-06,3.4446722090631244e-06,8.758732106811977e-06,1.946837221926273e-06,2.660711371385773e-07,1.8771373628528853e-06,0.3252497297181537,0.50302134763374,2.8380343963166745,0.036160401786612326,0.520966467732793,8.611680522657027
min,2.0,0.0,-8.01e-06,-1.31e-05,-3.64e-05,-1.92e-06,-1.13e-06,-7.66e-06,-0.321111073,-0.23587719999999998,-2.506267876,-0.122168511,-1.9532351719999999,-32.75
25%,9.0,62.0,-4.14e-06,-7.81e-06,-1.86e-05,8.987500000000001e-07,-2.55e-07,-1.7e-06,0.15003665949999997,0.25835798625,1.318150947,-0.01115164475,-0.19749305925,-19.525000000000002
50%,17.0,125.0,-2.42e-06,-4.75e-06,-1.15e-05,2.42e-06,-5.89e-08,-3.33e-07,0.4044779645,0.6874759964999999,3.5981551119999997,0.008022143499999999,0.09135152599999999,-11.875
75%,24.0,188.0,-9.007499999999999e-07,-1.79e-06,-4.3e-06,4.15e-06,8.19e-08,7.13e-07,0.69391210975,1.13845915775,5.924951707999999,0.03476904925,0.4715019495,-4.4750000000000005
max,31.0,250.0,1.94e-06,1.63e-06,8.56e-06,8.05e-06,9.109999999999999e-07,6.51e-06,1.3480416780000002,1.9138496580000002,11.5850957,0.152710677,2.08175221,4.075
